month domestic_16 domestic_17 var_16_17 inter_16 inter_17 var_16_17 total_16 total_17 var_16_17
January 430901 438315 -1.7 775908 654529 18.5 1206809 1092844 10.4
February 440259 450527 -2.3 685075 619767 10.5 1125334 1070294 5.1
March 501473 511686 -2.0 879036 776487 13.2 1380509 1288173 7.2
April 526326 528783 -0.5 1117161 945969 18.1 1643487 1474752 11.4
May 636834 649400 -1.9 1237244 1151082 7.5 1874078 1800482 4.1
June 733990 687074 6.8 1442131 1269992 13.6 2176121 1957066 11.2
July 843976 796623 5.9 1718569 1579022 8.8 2562545 2375645 7.9
August 824322 798454 3.2 1723526 1568147 9.9 2547848 2366601 7.7
September 754874 725650 4.0 1545356 1406896 9.8 2300230 2132546 7.9
October 697053 588090 18.5 1350655 1185781 13.9 2047708 1773871 15.4
November 479448 486146 -1.4 966689 846580 14.2 1446137 1332726 8.5
December 452848 490184 -7.6 972812 861814 12.9 1425660 1351998 5.4
Total 7322304 7150932 2.4 14414162 12866066 12.0 21736466 20016998 8.6
