month domestic_16 domestic_17 var_16_17 inter_16 inter_17 var_16_17 total_16 total_17 var_16_17
January 5029 5037 -0.2 6869 6415 7.1 11898 11452 3.9
February 4555 4846 -6.0 5993 6018 -0.4 10548 10864 -2.9
March 5327 5485 -2.9 7486 7122 5.1 12813 12607 1.6
April 5886 6043 -2.6 8807 8429 4.5 14693 14472 1.5
May 6977 7330 -4.8 9974 9772 2.1 16951 17102 -0.9
June 8649 8046 7.5 11131 10701 4.0 19780 18747 5.5
July 9882 9377 5.4 13264 12935 2.5 23146 22312 3.7
August 9775 9216 6.1 13216 12926 2.2 22991 22142 3.8
September 8381 8006 4.7 11372 11111 2.3 19753 19117 3.3
October 7221 6018 20.0 10048 9614 4.5 17269 15632 10.5
November 5065 5022 0.9 7795 7138 9.2 12860 12160 5.8
December 5075 5102 -0.5 8174 7428 10.0 13249 12530 5.7
Total 81822 79528 2.9 114129 109609 4.1 195951 189137 3.6
