month domestic_17 domestic_18 var_17_18 inter_17 inter_18 var_17_18 total_17 total_18 var_17_18
January 416827 430901 -3.3 867577 775908 11.8 1284404 1206809 6.4
February 400245 440259 -9.1 792660 685075 15.7 1192905 1125334 6.0
March 478952 501473 -4.5 1039203 879036 18.2 1518155 1380509 10.0
April 570381 526326 8.4 1292666 1117161 15.7 1863047 1643487 13.4
May 700139 636834 9.9 1461240 1237244 18.1 2161379 1874078 15.3
June 779857 733990 6.2 1649703 1442131 14.4 2429560 2176121 11.6
July 921691 843976 9.2 1931510 1718569 12.4 2853201 2562545 11.3
August 925164 824322 12.2 1963999 1723526 14.0 2889163 2547848 13.4
September 828412 754874 9.7 1729347 1545356 11.9 2557759 2300230 11.2
October 684924 697053 -1.7 1522218 1350655 12.7 2207142 2047708 7.8
November 526343 479448 9.8 1097239 966689 13.5 1623582 1446137 12.3
December 497600 452848 9.9 1057534 972812 8.7 1555134 1425660 9.1
Total 7730535 7322304 5.6 16404896 14414162 13.8 24135431 21736466 11.0
