month domestic_17 domestic_18 var_17_18 inter_17 inter_18 var_17_18 total_17 total_18 var_17_18
January 4950 5029 -1.6 7521 6869 9.5 12471 11898 4.8
February 4549 4555 -0.1 6593 5993 10.0 11142 10548 5.6
March 5283 5327 -0.8 8492 7486 13.4 13775 12813 7.5
April 6524 5886 10.8 9919 8807 12.6 16443 14693 11.9
May 7841 6977 12.4 11208 9974 12.4 19049 16951 12.4
June 9432 8649 9.1 12612 11131 13.3 22044 19780 11.4
July 10929 9882 10.6 14679 13264 10.7 25608 23146 10.6
August 11112 9775 13.7 14940 13216 13.0 26052 22991 13.3
September 9516 8381 13.5 12568 11372 10.5 22084 19753 11.8
October 8080 7221 11.9 11133 10048 10.8 19213 17269 11.3
November 6197 5065 22.3 8474 7795 8.7 14671 12860 14.1
December 6117 5075 20.5 8425 8174 3.1 14542 13249 9.8
Total 90530 81822 10.6 126564 114129 10.9 217094 195951 10.8
